,0,1
0,1213.99,8.693
1,1214.09,0.05
2,1214.22,3.3206
3,1214.23,4.0957
4,1214.29,0.9848
5,1214.34,0.8912
6,1214.38,3.1302
7,1214.4,0.9032
8,1214.41,2.2571
9,1214.45,1.25
10,1214.48,1.7892
11,1214.5,17.6684
12,1214.51,0.9377
13,1214.52,4.7103
14,1214.53,2.231
15,1214.54,6.2006
16,1214.56,5.853
17,1214.58,1.8194
18,1214.59,1.7892
19,1214.6,3.2468
20,1214.67,7.8104
21,1214.68,1.8597
22,1214.69,4.6491
23,1214.7,3.3866
24,1214.71,4.5668
25,1214.72,1.25
26,1214.73,5.5779
27,1214.74,17.2538
28,1214.75,111.0906
29,1214.78,6.63
30,1214.79,1.885
31,1214.8,7.8537
32,1214.81,0.0348
33,1214.82,17.6684
34,1214.86,2.4585
35,1214.87,2.2325
36,1214.88,4.463
37,1214.9,5.5779
38,1214.93,1.7892
39,1214.97,4.2896
40,1214.98,0.225
41,1214.99,2.682
42,1215.0,4.4624
43,1215.05,2.231
44,1215.08,1.8461
45,1215.09,2.385
46,1215.1,11.2068
47,1215.12,10.1112
48,1215.16,0.2043
49,1215.19,2.3359
50,1215.22,2.5399
51,1215.23,6.3822
52,1215.24,0.9467
53,1215.25,2.7702
54,1215.26,6.924
55,1215.28,2.2797
56,1215.33,1.647
57,1215.34,4.1155
58,1215.35,0.164
59,1215.36,2.2688
60,1215.37,0.9265
61,1215.38,10.7968
62,1215.4,2.231
63,1215.47,0.9079
64,1215.48,2.2688
65,1215.49,2.7636
66,1215.5,5.4237
67,1215.51,4.2
68,1215.56,3.2031
69,1215.57,4.5293
70,1215.58,4.2071
71,1215.6,2.2688
72,1215.64,0.1991
73,1215.66,1.0249
74,1215.67,2.5606
75,1215.69,0.2653
76,1215.71,0.0222
77,1215.73,2.043
78,1215.74,0.898
79,1215.75,4.2074
80,1215.76,3.1894
81,1215.78,0.0247
82,1215.8,0.0268
83,1215.83,2.2499
84,1215.85,0.024
85,1215.88,0.0211
86,1215.91,9.6584
87,1215.92,11.8558
88,1215.93,10.6472
89,1215.95,9.5403
90,1215.96,6.8885
91,1215.97,17.1075
92,1215.99,0.4565
93,1216.0,1.8495
94,1216.01,2.2942
95,1216.04,0.124
96,1216.05,1.4822
97,1216.06,3.7057
98,1216.07,2.2499
99,1216.08,1.5
100,1216.1,3.731
101,1216.11,0.1413
102,1216.12,0.4565
103,1216.13,3.9525
104,1216.14,9.8799
105,1216.17,2.2942
106,1216.18,1.4225
107,1216.19,2.104
108,1216.21,6.1225
109,1216.24,3.0196
110,1216.25,7.5589
111,1216.26,0.4554
112,1216.27,5.2828
113,1216.28,13.2069
114,1216.29,2.2942
115,1216.32,0.124
116,1216.34,5.1828
117,1216.35,12.1
118,1216.36,2.2942
119,1216.37,1.5096
120,1216.38,0.1991
121,1216.4,0.3523
122,1216.41,1.8076
123,1216.43,4.5178
124,1216.45,2.231
125,1216.47,0.9179
126,1216.48,2.2942
127,1216.5,0.0093
128,1216.51,6.8094
129,1216.53,17.0218
130,1216.55,0.0454
131,1216.57,0.898
132,1216.59,0.9184
133,1216.6,2.2942
134,1216.63,2.231
135,1216.64,0.0188
136,1216.66,0.0137
137,1216.67,0.9003
138,1216.68,2.2499
139,1216.74,0.9273
140,1216.75,2.2942
141,1216.8,4.0971
142,1216.81,8.8169
143,1216.82,13.2414
144,1216.84,2.2942
145,1216.85,1.8262
146,1216.89,34.9365
147,1216.9,87.3399
148,1216.92,0.025
149,1216.93,0.1413
150,1216.94,0.01
151,1216.95,1.624
152,1216.96,1.2944
153,1216.99,1.1891
154,1217.0,2.971
155,1217.01,1.2072
156,1217.03,2.0542
157,1217.05,8.0913
158,1217.06,18.3874
159,1217.07,7.4873
160,1217.08,7.4873
161,1217.09,7.7003
162,1217.14,0.0175
163,1217.15,0.2259
164,1217.2,12.1158
165,1217.23,1.8671
166,1217.25,10.0
167,1217.28,0.99
168,1217.3,0.124
169,1217.33,2.4709
170,1217.35,19.9523
171,1217.47,0.0194
172,1217.49,34.531
173,1217.5,0.0494
174,1217.51,0.327
175,1217.52,12.3104
176,1217.54,0.0112
177,1217.58,0.124
178,1217.61,7.4096
179,1217.66,0.0092
180,1217.67,0.0114
181,1217.68,0.0294
182,1217.69,0.0164
183,1217.7,0.0226
184,1217.72,0.8577
185,1217.74,0.0147
186,1217.75,0.1413
187,1217.76,0.0083
188,1217.85,12.3361
189,1217.87,7.4549
190,1217.91,12.3361
191,1217.96,0.0085
192,1218.0,1.8076
193,1218.05,60.4
194,1218.1,3.7621
195,1218.11,0.6723
196,1218.13,7.6476
197,1218.19,0.2061
198,1218.2,0.3037
199,1218.24,21.9518
200,1218.26,0.0094
201,1218.28,0.52
202,1218.31,0.0293
203,1218.32,0.0127
204,1218.34,0.0098
205,1218.39,7.4144
206,1218.41,0.0165
207,1218.42,71.8027
208,1218.49,9.3899
209,1218.51,0.019
210,1218.52,0.0211
211,1218.53,1.5308
212,1218.54,0.9554
213,1218.56,0.124
214,1218.59,0.0306
215,1218.61,0.02
216,1218.63,0.0112
217,1218.65,7.339
218,1218.66,0.0093
219,1218.75,0.018
220,1218.76,0.0997
221,1218.82,0.0313
222,1218.9,109.0
223,1218.91,7.402
224,1218.92,0.0437
225,1219.0,1.845
226,1219.02,0.62
