,0,1
0,1213.98,15.7609
1,1213.96,0.0351
2,1213.94,2.2613
3,1213.92,0.1356
4,1213.91,0.5
5,1213.88,4.1317
6,1213.87,10.327
7,1213.86,4.806
8,1213.85,11.963
9,1213.84,0.1231
10,1213.8,5.4079
11,1213.73,3.855
12,1213.72,11.5576
13,1213.71,5.5779
14,1213.66,6.2569
15,1213.65,10.0631
16,1213.64,0.0454
17,1213.63,2.2499
18,1213.6,1.4828
19,1213.57,6.2096
20,1213.56,2.2704
21,1213.55,9.6254
22,1213.54,7.5285
23,1213.52,0.1439
24,1213.5,6.7103
25,1213.49,3.7514
26,1213.48,2.0674
27,1213.47,9.3783
28,1213.46,0.1321
29,1213.44,2.1621
30,1213.41,0.5
31,1213.38,4.3811
32,1213.37,0.8912
33,1213.36,3.7252
34,1213.35,0.8451
35,1213.34,4.4523
36,1213.33,0.095
37,1213.32,3.4325
38,1213.31,2.731
39,1213.3,8.5814
40,1213.29,0.0881
41,1213.28,3.7008
42,1213.27,0.5
43,1213.26,1.6495
44,1213.24,4.7598
45,1213.23,6.1192
46,1213.22,7.265
47,1213.21,0.7
48,1213.18,0.01
49,1213.17,0.524
50,1213.16,3.1966
51,1213.15,0.8929
52,1213.14,2.231
53,1213.13,0.5
54,1213.12,2.7699
55,1213.11,14.6245
56,1213.08,4.3448
57,1213.07,9.1227
58,1213.06,0.0454
59,1213.05,0.7
60,1213.03,0.9085
61,1213.02,1.1202
62,1213.01,2.2942
63,1213.0,1.2
64,1212.97,2.99
65,1212.96,2.731
66,1212.95,9.8822
67,1212.94,1.7196
68,1212.93,1.0207
69,1212.92,16.6066
70,1212.9,8.5249
71,1212.89,2.4182
72,1212.88,7.061
73,1212.87,17.6524
74,1212.83,2.6605
75,1212.81,0.8925
76,1212.79,2.231
77,1212.78,0.73
78,1212.77,0.0454
79,1212.76,2.0
80,1212.74,1.9559
81,1212.73,2.2942
82,1212.71,2.1816
83,1212.67,1.6
84,1212.65,0.7044
85,1212.63,0.5
86,1212.62,2.6096
87,1212.61,4.6838
88,1212.59,3.8013
89,1212.58,7.2489
90,1212.57,0.2064
91,1212.56,0.03
92,1212.54,0.801
93,1212.53,0.0743
94,1212.5,0.1034
95,1212.49,0.923
96,1212.48,5.6571
97,1212.47,8.2644
98,1212.44,2.2703
99,1212.42,1.2839
100,1212.41,2.3912
101,1212.4,0.0314
102,1212.39,2.1062
103,1212.37,0.048
104,1212.36,1.9427
105,1212.34,0.5
106,1212.33,7.1229
107,1212.32,2.2688
108,1212.31,12.3539
109,1212.3,1.981
110,1212.29,16.18
111,1212.28,5.2457
112,1212.26,12.9197
113,1212.24,0.883
114,1212.23,0.9126
115,1212.22,1.836
116,1212.21,2.2797
117,1212.19,0.0454
118,1212.17,0.1347
119,1212.16,1.1117
120,1212.14,2.2797
121,1212.11,4.2538
122,1212.1,4.604
123,1212.09,2.231
124,1212.07,2.3114
125,1212.06,5.032
